info face="JetBrainsMono-Regular" size=72 bold=0 italic=0 charset="" unicode=1 stretchH=100 smooth=1 aa=1 padding=1,1,1,1 spacing=1,1
common lineHeight=72 base=73 scaleW=421 scaleH=415 pages=1 packed=0
page id=0 file="Unnamed.png"
chars count=91
char id=32 x=0 y=0 width=0 height=0 xoffset=0 yoffset=0 xadvance=44 page=0 chnl=15
char id=33 x=397 y=133 width=13 height=55 xoffset=15 yoffset=20 xadvance=44 page=0 chnl=15
char id=34 x=384 y=358 width=25 height=24 xoffset=9 yoffset=20 xadvance=44 page=0 chnl=15
char id=35 x=73 y=302 width=40 height=55 xoffset=2 yoffset=20 xadvance=44 page=0 chnl=15
char id=36 x=0 y=0 width=35 height=75 xoffset=4 yoffset=10 xadvance=44 page=0 chnl=15
char id=37 x=0 y=302 width=43 height=55 xoffset=0 yoffset=20 xadvance=44 page=0 chnl=15
char id=38 x=34 y=133 width=44 height=56 xoffset=1 yoffset=20 xadvance=44 page=0 chnl=15
char id=39 x=411 y=133 width=10 height=25 xoffset=17 yoffset=20 xadvance=44 page=0 chnl=15
char id=40 x=65 y=0 width=24 height=71 xoffset=12 yoffset=13 xadvance=44 page=0 chnl=15
char id=41 x=90 y=0 width=24 height=71 xoffset=7 yoffset=13 xadvance=44 page=0 chnl=15
char id=42 x=223 y=358 width=40 height=40 xoffset=2 yoffset=28 xadvance=44 page=0 chnl=15
char id=43 x=264 y=358 width=36 height=36 xoffset=4 yoffset=32 xadvance=44 page=0 chnl=15
char id=44 x=369 y=358 width=14 height=25 xoffset=14 yoffset=62 xadvance=44 page=0 chnl=15
char id=45 x=344 y=59 width=26 height=9 xoffset=9 yoffset=46 xadvance=44 page=0 chnl=15
char id=46 x=0 y=401 width=14 height=14 xoffset=15 yoffset=62 xadvance=44 page=0 chnl=15
char id=47 x=115 y=0 width=35 height=70 xoffset=4 yoffset=13 xadvance=44 page=0 chnl=15
char id=48 x=0 y=76 width=33 height=56 xoffset=5 yoffset=20 xadvance=44 page=0 chnl=15
char id=49 x=79 y=133 width=35 height=55 xoffset=5 yoffset=20 xadvance=44 page=0 chnl=15
char id=50 x=115 y=133 width=35 height=55 xoffset=4 yoffset=20 xadvance=44 page=0 chnl=15
char id=51 x=34 y=76 width=34 height=56 xoffset=4 yoffset=20 xadvance=44 page=0 chnl=15
char id=52 x=151 y=133 width=32 height=55 xoffset=4 yoffset=20 xadvance=44 page=0 chnl=15
char id=53 x=69 y=76 width=34 height=56 xoffset=4 yoffset=20 xadvance=44 page=0 chnl=15
char id=54 x=104 y=76 width=36 height=56 xoffset=4 yoffset=20 xadvance=44 page=0 chnl=15
char id=55 x=184 y=133 width=35 height=55 xoffset=5 yoffset=20 xadvance=44 page=0 chnl=15
char id=56 x=141 y=76 width=35 height=56 xoffset=4 yoffset=20 xadvance=44 page=0 chnl=15
char id=57 x=220 y=133 width=36 height=55 xoffset=4 yoffset=20 xadvance=44 page=0 chnl=15
char id=58 x=373 y=302 width=14 height=43 xoffset=15 yoffset=33 xadvance=44 page=0 chnl=15
char id=59 x=114 y=302 width=15 height=54 xoffset=14 yoffset=33 xadvance=44 page=0 chnl=15
char id=61 x=335 y=358 width=33 height=25 xoffset=5 yoffset=38 xadvance=44 page=0 chnl=15
char id=63 x=44 y=302 width=28 height=55 xoffset=8 yoffset=20 xadvance=44 page=0 chnl=15
char id=64 x=304 y=0 width=39 height=68 xoffset=2 yoffset=20 xadvance=44 page=0 chnl=15
char id=65 x=105 y=190 width=38 height=55 xoffset=3 yoffset=20 xadvance=44 page=0 chnl=15
char id=66 x=144 y=190 width=33 height=55 xoffset=6 yoffset=20 xadvance=44 page=0 chnl=15
char id=67 x=244 y=76 width=33 height=56 xoffset=6 yoffset=20 xadvance=44 page=0 chnl=15
char id=68 x=178 y=190 width=32 height=55 xoffset=6 yoffset=20 xadvance=44 page=0 chnl=15
char id=69 x=211 y=190 width=32 height=55 xoffset=6 yoffset=20 xadvance=44 page=0 chnl=15
char id=70 x=244 y=190 width=33 height=55 xoffset=6 yoffset=20 xadvance=44 page=0 chnl=15
char id=71 x=278 y=76 width=33 height=56 xoffset=5 yoffset=20 xadvance=44 page=0 chnl=15
char id=72 x=278 y=190 width=32 height=55 xoffset=6 yoffset=20 xadvance=44 page=0 chnl=15
char id=73 x=311 y=190 width=30 height=55 xoffset=7 yoffset=20 xadvance=44 page=0 chnl=15
char id=74 x=312 y=76 width=35 height=56 xoffset=2 yoffset=20 xadvance=44 page=0 chnl=15
char id=75 x=342 y=190 width=35 height=55 xoffset=6 yoffset=20 xadvance=44 page=0 chnl=15
char id=76 x=0 y=246 width=33 height=55 xoffset=8 yoffset=20 xadvance=44 page=0 chnl=15
char id=77 x=34 y=246 width=35 height=55 xoffset=4 yoffset=20 xadvance=44 page=0 chnl=15
char id=78 x=70 y=246 width=33 height=55 xoffset=5 yoffset=20 xadvance=44 page=0 chnl=15
